[Metadata],,,,,,,,,,
Opcode,VQCOP-B004,,,,,,,,,
Test name,Dark current measurement,,,,,,,,,
Device ID,R1C0Q0,,,,,,,,,
Test start date,2025-02-16-17-06-57,,,,,,,,,
Test end date,-,,,,,,,,,
Remarks,tested with keithley SMU lowest possible reading > 700 nano Amps, device slightly chipped near the edge of r 250 gold bond pad intact,,,,,,,,
,,,,,,,,,,
[Unit],,,,,,,,,,
Voltage,V,,,,,,,,,
Current,uA,,,,,,,,,
Temperature,C,,,,,,,,,
,,,,,,,,,,
[Settings],,,,,,,,,,
Temp,25,,,,,,,,,
Step size,0.1,,,,,,,,,
,,,,,,,,,,
[Measurement data],,,,,,,,,,
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-4.2,0.4185713,-1.219276,-2.383778,-11.208,-2.420391,-2.434768,-45.11434,-12.63735,-26.15358,-0.2479064
-4.3,-0.5895854,-2.245477,-11.92861,-10.5729,-3.877562,-2.933375,-48.87203,-14.55704,-28.43386,-0.220607
-4.4,0.3376626,-2.731511,-13.38136,-14.42671,-4.156027,-4.274421,-50.01438,-15.54511,-29.57252,0.1196167
-4.5,0.9700889,-2.039422,-12.91052,-12.50941,-1.900888,-7.475086,-54.52073,-13.97921,-32.73602,1.93395
-4.6,-0.8037314,-1.808105,-15.22817,-16.46852,-5.730311,-5.477807,-57.09243,-18.93647,-35.60746,-0.6839982
-4.7,-1.360488,-2.481509,-16.3287,-17.62313,-5.921291,-7.965427,-58.7792,-20.84434,-38.48338,0.5865004
-4.8,0.9275391,-2.166198,-17.88558,-17.3134,-5.606853,-6.212678,-65.57876,-21.72939,-43.29375,-1.570559
-4.9,0.5998299,-1.081324,-19.7019,-19.1445,-7.050054,-7.90233,-67.7616,-23.14022,-45.03003,-0.34814
-5,-1.226901,-4.898815,-17.31567,-19.14095,-8.311647,-11.42285,-71.66713,-27.353,-49.98772,-1.484121
-5.1,-2.133835,-2.369401,-21.94283,-23.05926,-9.565614,-11.02552,-74.55415,-29.18945,-52.21472,0.5731708
-5.2,-0.01437729,-2.375047,-21.05627,-24.77883,-8.063333,-10.78902,-80.03079,-34.29948,-58.19192,0.8141506
-5.3,-1.018634,-4.420523,-24.75886,-29.2309,-10.22202,-14.48003,-87.39094,-35.78415,-61.79418,-0.8615316
-5.4,-1.968525,-5.535781,-25.88227,-30.60297,-11.27226,-13.69568,-91.24918,-36.1102,-69.03958,-0.2296874
-5.5,-2.109853,-4.706089,-29.30878,-31.09389,-11.31068,-15.94127,-96.71989,-43.16494,-76.853,0.2199668
-5.6,-1.593959,-7.912866,-31.37754,-32.50033,-12.44579,-18.45293,-106.1635,-45.14042,-79.94226,0.3338209
-5.7,0.150234,-7.591269,-33.40651,-34.00954,-16.38278,-20.77344,-110.1005,-51.12056,-86.84417,-0.4221802
-5.8,-3.59409,-6.570714,-36.79952,-38.11604,-15.20402,-19.96668,-120.5504,-54.85336,-92.82478,0.5415641
-5.9,-3.622496,-8.863281,-36.79286,-39.94134,-17.28337,-25.01247,-128.4479,-60.92645,-100.5873,-0.1184526
-6,-2.585643,-8.302508,-40.65468,-45.71825,-19.22424,-26.21271,-136.0383,-62.24209,-109.1934,-1.548906
-6.1,-2.581219,-9.615324,-43.63392,-48.35686,-21.8791,-28.92473,-142.1347,-69.84523,-113.0489,-0.7565832
-6.2,-2.698333,-9.195006,-46.34517,-53.92631,-20.88945,-31.24413,-150.4352,-73.23842,-123.4623,-1.089938
-6.3,-4.747417,-10.4513,-45.11123,-57.08827,-25.11434,-33.60002,-159.9347,-79.93306,-127.7386,-0.5607726
-6.4,-2.251298,-12.50126,-46.60434,-58.61916,-25.39204,-34.27884,-167.7108,-86.26693,-136.2861,1.096574
-6.5,-5.794165,-11.21027,-50.33094,-58.99891,-25.97924,-37.96985,-176.9389,-87.28422,-141.4883,-1.232431
-6.6,-4.529604,-11.36248,-54.12631,-64.83961,-27.51645,-38.87131,-187.7601,-95.37398,-151.2929,1.396809
-6.7,-4.840898,-16.02789,-53.97236,-68.80637,-30.74179,-45.22817,-196.116,-100.1351,-157.7477,-0.9876676
-6.8,-7.457624,-14.59342,-58.67146,-70.93526,-31.38767,-45.62794,-203.138,-106.3629,-165.5822,0.9360374
-6.9,-5.430134,-16.1663,-63.24219,-72.83402,-32.785,-49.25326,-218.4017,-111.0231,-171.8081,-0.08335337
-7,-6.386428,-15.36455,-64.9798,-75.72552,-33.64548,-50.68933,-228.2583,-114.3963,-181.0089,-1.538312
