[Metadata],,,,,,,,,,
Opcode,VQCOP-B004,,,,,,,,,
Test name,Dark current measurement,,,,,,,,,
Device ID,R1C7Q0,,,,,,,,,
Test start date,2025-02-16-16-15-25,,,,,,,,,
Test end date,-,,,,,,,,,
,,,,,,,,,,
Remarks,tested with keithley SMU lowest possible reading > 700 nano Amps,,,,,,,,,
,,,,,,,,,,
[Unit],,,,,,,,,,
Voltage,V,,,,,,,,,
Current,uA,,,,,,,,,
Temperature,C,,,,,,,,,
,,,,,,,,,,
[Settings],,,,,,,,,,
Temp,25,,,,,,,,,
Step size,0.1,,,,,,,,,
,,,,,,,,,,
[Measurement data],,,,,,,,,,
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
0,1.097622,-0.160886,0.9777723,-1.753273,0.3614696,0.7433118,-0.3188616,-0.4401081,-0.2961606,-2.731511
-0.1,-0.4561152,-0.7364433,0.8971547,-1.30682,1.91445,1.09087,1.066423,-0.8319621,0.6969203,0.04988397
-0.2,-0.7042545,2.054847,-0.9009382,-1.619104,0.3962778,1.234119,-0.1999433,-0.8171191,1.439126,-0.963104
-0.3,1.739536,1.170556,0.9529176,-1.187669,0.270782,-1.176377,1.670094,0.2001179,-0.405882,-1.638022
-0.4,1.364679,-0.1558219,-0.4614703,1.718232,-1.411245,0.6956398,0.5731708,-0.7323688,-2.763816,-0.2467423
-0.5,2.294953,0.3510504,-0.4898757,0.1402223,-1.266832,-0.8029747,-0.9612995,1.235632,-0.585278,-1.819048
-0.6,1.063047,-0.5460461,-0.9387732,2.679066,-1.105072,-0.5834154,-2.480112,0.389351,-0.4211906,-1.750072
-0.7,-2.180692,0.5373731,0.9714277,-0.5065231,1.180044,-2.560671,0.6110058,-0.6904011,-0.3278255,-0.2238085
-0.8,-0.2374873,1.60042,1.402397,0.2816087,0.4760223,-0.1071603,-0.6320188,-0.6941264,-3.634428,-3.376743
-0.9,-1.520268,1.574866,-0.9307987,-2.213113,0.6287009,-0.4398171,-2.420391,-1.386914,-1.293898,-0.6874907
-1,1.178007,1.713284,0.5882466,-0.7511117,-0.1535518,-1.524575,-0.6140908,-1.170265,-3.256369,-1.565088
-1.1,1.534587,-1.311942,2.496003,2.187095,0.1711887,-0.6968039,-1.912762,0.174914,-4.267204,-1.30682
-1.2,-0.3459281,0.5573966,-1.331849,-0.2139132,-0.5128095,-0.1604785,-0.6579794,-1.547043,-2.003915,-0.8287607
-1.3,1.283188,-1.39873,0.5165348,1.431734,-0.8964562,-0.2991292,-1.040753,-2.179237,-4.762376,-2.214685
-1.4,0.7343479,2.355082,-0.2772431,0.7243943,1.629523,0.4370813,-0.01001172,-4.332687,-4.173955,-4.075991
-1.5,1.295237,0.4798057,-0.745873,-0.3188616,-0.6692135,-1.757056,-2.760615,-5.385256,-5.703187,-3.530935
-1.6,-1.127715,-1.257402,-1.682842,-1.726497,-0.4735193,-1.660199,-0.1944136,-4.348229,-4.089379,-4.581176
-1.7,-0.8666539,-1.049251,-0.5401089,1.377251,-1.418113,-0.9387732,0.4111789,-4.135771,-6.457267,-0.217522
-1.8,-0.9009382,-1.18959,-1.768582,-0.5493639,-1.630571,-1.948152,-2.828718,-4.121393,-7.090042,-2.134941
-1.9,0.3991299,-1.986336,0.1800363,-0.2092565,-1.494598,0.9236974,-2.121611,-7.562921,-8.491741,-0.8094939
-2,0.8092611,0.3258465,-0.7753843,1.212349,-2.726563,-0.5128095,-0.06932532,-7.329625,-9.10135,-2.866436
