[Metadata],,,,,
Opcode,VQCOP-A003,,,,
Test name,Dark current measurement,,,,
Device ID,R1C1Q2,,,,
Test start date,2024-07-19-15-09-12,,,,
Test end date,-,,,,
Remarks,,,,,
,,,,,
[Unit],,,,,
Voltage,V,,,,
Current,uA,,,,
Temperature,C,,,,
Colums,,,,,
,,,,,
[Settings],,,,,
Temp,25,,,,
Step size,1,,,,
,,,,,
[Measurement data],,,,,
Voltage step:,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
0,-0.0158,-0.029,0.0002,-0.1774,-0.0014
-1,-0.0154,-0.035,-0.0014,-0.165,-0.0042
-2,-0.0368,-0.0838,-0.0016,-0.4082,-0.0052
-3,-0.0712,-0.1576,-0.0014,-0.6586,-0.0128
-4,-0.1214,-0.2534,0.0024,-0.9024,-0.027
-5,-0.1806,-0.371,0.0004,-1.1508,-0.0592
-6,-0.2548,-0.5108,-0.0064,-1.4136,-0.108
-7,-0.3246,-0.6652,-0.0162,-1.717,-0.1784
-8,-0.4084,-0.8304,-0.029,-1.986,-0.2828
-9,-0.513,-1.0132,-0.0572,-2.2864,-0.4244
-10,-0.6236,-1.209,-0.1566,-2.5834,-0.589
-11,-0.7604,-1.4184,-0.276,-2.907,-0.7782
-12,-0.8906,-1.6424,-0.436,-3.2362,-1.0006
-13,-1.0328,-1.8746,-0.573,-3.5224,-1.2462
-14,-1.1958,-2.1198,-0.7638,-3.858,-1.488
-15,-1.386,-2.3734,-0.9588,-4.158,-1.6534
-16,-1.5684,-2.635,-1.1174,-4.487,-1.8374
-17,-1.7596,-2.8922,-1.4308,-4.8012,-2.0828
-18,-1.9918,-3.1724,-0.8016,-5.151,-2.303
-19,-2.2118,-3.4482,-0.862,-5.4692,-2.5916
-20,-2.439,-3.728,-1.231,-5.791,-2.8812
-21,-2.6852,-4.0154,-1.4322,-6.1166,-3.1646
-22,-2.908,-4.3068,-1.5656,-6.445,-3.2414
-23,-3.1642,-4.598,-1.6384,-6.7652,-3.4906
-24,-3.42,-4.8952,-2.0438,-7.096,-3.7402
-25,-3.7004,-5.1892,-2.2432,-7.442,-4.0194
-26,-3.9648,-5.4918,-2.5526,-7.7724,-4.3138
-27,-4.26,-5.7898,-2.817,-8.121,-4.5908
-28,-4.5176,-6.0966,-2.8832,-8.4434,-4.7622
-29,-4.8006,-6.3968,-3.0162,-8.7882,-4.9502
-30,-5.0854,-6.6998,-3.322,-9.1362,-5.2042
