[Metadata],,,,,,,,,,
Opcode,VQCOP-B004,,,,,,,,,
Test name,Dark current measurement,,,,,,,,,
Device ID,R1C2Q0,,,,,,,,,
Test start date,2025-02-16-17-17-40,,,,,,,,,
Test end date,-,,,,,,,,,
,,,,,,,,,,
Remarks,tested with keithley SMU lowest possible reading > 700 nano Amps,,,,,,,,,
,,,,,,,,,,
[Unit],,,,,,,,,,
Voltage,V,,,,,,,,,
Current,uA,,,,,,,,,
Temperature,C,,,,,,,,,
,,,,,,,,,,
[Settings],,,,,,,,,,
Temp,25,,,,,,,,,
Step size,0.1,,,,,,,,,
,,,,,,,,,,
[Measurement data],,,,,,,,,,
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-3.6,-0.8253264,-1.435576,0.6488408,-1.631211,-1.916313,-2.64612,-13.46518,-0.07200288,-15.24168,-17.93925
-3.7,-2.590532,-0.3082096,-1.896289,-3.045192,-0.258442,-3.122143,-17.22539,2.15543,-16.65187,-18.23815
-3.8,-2.306537,1.006178,-0.2846355,-2.592569,-3.217487,-3.63274,-18.07889,-0.09668292,-15.8833,-19.85417
-3.9,-2.365443,-0.3197929,-0.6100163,-3.637455,-1.480978,-3.47587,-20.03636,0.9221258,-18.49007,-23.90356
-4,-1.527078,-0.1881854,-0.3050664,-1.672015,-1.02492,-6.694405,-20.88945,-0.800821,-19.2548,-25.30817
-4.1,-1.386914,-2.769462,-1.978187,-1.645414,-4.954811,-4.522386,-21.55191,-0.2841116,-20.17815,-27.75097
-4.2,-2.25415,-1.872948,-2.985704,-2.22068,-3.312773,-6.835326,-23.25489,-1.74006,-24.97656,-28.10243
-4.3,-2.28436,-3.042165,0.4185713,-3.481226,-1.314213,-5.958369,-26.72669,0.01286389,-25.34006,-31.12218
-4.4,-3.686582,-0.01222361,-2.388435,-4.109403,-1.634471,-6.610295,-28.9834,-101.9186,-29.52141,-33.14883
-4.5,0.04243338,-0.7749768,-1.496286,-4.444562,-5.971349,-8.781906,-29.71257,-116.5479,-29.67968,-38.47419
-4.6,2.100191,0.4314934,-0.8033821,-5.020993,-5.201262,-8.611882,-30.32701,-122.1657,-34.69028,-42.35399
-4.7,-3.671041,-5.431881,-2.233312,-3.868481,-5.23834,-6.621762,-34.80614,-127.8639,-36.6481,-46.52838
-4.8,-3.430003,-1.34419,-5.479262,-5.868671,-7.450522,-9.283947,-36.54486,-133.8873,-41.60986,-51.86285
-4.9,-5.866634,-4.325586,-3.758993,-6.065588,-8.018513,-10.32691,-40.91155,-139.9484,-44.33136,-53.22049
-5,-2.379878,-3.369933,-5.046779,-5.318201,-5.209935,-9.817886,-42.8824,-154.3895,-50.98197,-60.30113
-5.1,-3.855443,1.270615,-4.477275,-7.029972,-5.424838,-11.72861,-45.66726,-163.0919,-53.53335,-63.7481
-5.2,-5.638343,1.106819,-7.332768,-8.593954,-9.338546,-11.02476,-51.13502,-177.9903,-58.0835,-70.18543
-5.3,-4.559173,-5.563023,-5.278038,-10.09565,-8.828298,-13.69952,-55.51102,-189.7796,-62.02099,-77.12189
-5.4,-6.910937,0.3637979,-5.209935,-8.256873,-9.826792,-16.13674,-57.13303,-206.7519,-67.4153,-85.90036
-5.5,-6.830145,-1.379114,-6.817514,-8.03353,-12.31459,-17.28279,-62.73534,-222.5747,-74.92371,-92.37311
-5.6,-1.495704,-9.212643,-7.954135,-11.79846,-15.39179,-17.53226,-70.79024,-234.3817,-79.69001,-100.0626
-5.7,-7.978117,-1.612643,-8.158211,-15.14936,-15.88883,-16.5854,-74.54271,-260.2539,-88.17442,-105.6781
-5.8,-2.161309,-11.03658,-10.77604,-15.72614,-17.32062,-19.60737,-85.30822,-274.671,-97.40031,-114.5994
-5.9,-9.723124,-2.023007,-9.705895,-13.96972,-16.69355,-18.70404,-94.30625,-309.3889,-101.5635,-126.1703
-6,-10.03261,-10.6853,-13.36687,-14.69569,-22.37927,-28.01692,-98.55395,-338.0401,-109.9001,-137.5271
-6.1,-11.24298,-11.34025,-14.67846,-20.40213,-18.69589,-40.92944,-108.2545,-363.3945,-117.0315,-142.0715
-6.2,-11.72861,-13.94737,-13.39061,-19.54025,-20.56937,-43.3024,-122.5444,-402.6302,-123.5224,-156.1489
-6.3,-7.709546,-12.78426,-16.27416,-20.15091,-24.79047,-48.39353,-136.5703,-439.6924,-133.1118,-164.9271
-6.4,-15.63207,-10.6442,-15.99238,-23.57998,-27.854,-51.44684,-146.5091,,-142.1242,-175.0306
-6.5,-16.84111,-17.08872,-18.664,-25.04274,-27.66954,-52.65279,-158.4687,,-151.0168,-182.5463
-6.6,-17.54827,-15.667,-21.91222,-25.77319,-31.60833,-56.76449,-176.9858,,-156.1611,-197.8231
-6.7,-19.52151,-18.17179,-20.09963,-28.42298,-33.68835,-58.27198,-191.3515,,-165.2673,-204.5209
-6.8,-18.56015,-18.00747,-20.9916,-28.00243,-34.38495,-61.90987,-218.8861,,-173.8287,-218.6317
-6.9,-20.14032,-17.23552,-24.42149,-30.78574,-35.26933,-66.11939,-235.4261,,-182.2482,-230.8228
-7,-19.54142,-18.319,-23.56828,-30.9599,-37.40392,-71.25706,-253.039,,-188.4618,-241.2113
-7.1,-19.1576,-21.46419,-25.64839,-34.39194,-39.08278,-71.10316,-268.8539,,-191.3104,-247.1902
-7.2,-22.8429,-21.02467,-25.62115,-35.67879,-39.82929,-74.98261,-287.3453,,-198.8308,-256.4989
-7.3,-12.48997,-21.95756,-26.94037,-35.48656,-40.27807,-78.41468,-307.3458,,-205.1581,-265.6302
-7.4,-21.60692,-21.89266,-26.10835,-35.54203,-41.11847,-80.57529,-327.0007,,-210.2924,-274.384
-7.5,-24.94076,-23.10029,-28.24544,-34.82026,-41.38306,-84.01531,-343.1439,,-214.3326,-283.467
-7.6,-24.5205,-22.1458,-29.16524,-37.6977,-43.81099,-82.44909,-359.7426,,-219.8339,-295.493
-7.7,-24.26037,-22.411,-26.6417,-39.76529,-45.46528,-84.81339,-367.1171,,-226.5809,-304.5641
-7.8,-26.03693,-21.70895,-29.12857,-40.63424,-45.42916,-89.2822,-350.2617,,-234.0299,-316.7391
-7.9,-22.46664,-24.28214,-29.82485,-42.00806,-46.84227,-90.50706,-338.7581,,-236.8764,-325.0382
-8,-30.15023,-25.09047,-31.56427,-43.73339,-49.30046,-93.77164,-347.0965,,-243.3307,-338.675
-8.1,-30.75169,-26.41947,-31.83319,-44.21573,-51.05769,-93.78427,-361.6511,,-249.8488,-347.7294
-8.2,-31.17154,-26.30946,-32.58593,-43.55601,-52.67831,-95.04732,-372.3426,,-256.0901,-363.0852
-8.3,-36.0781,-26.6892,-35.00242,-47.32239,-52.60398,-84.26263,-383.7515,,-261.2791,-371.2806
