[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C9Q1
Test Start Date,2025-02-27-10-10-29
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,0.9965151999999999,-1.174398,0.35547419999999996,-0.7875496999999999,0.3513414,0.5392358,-1.895591,0.08096686,0.1649605,-1.3059470000000002
-0.2,1.0613,-1.2050150000000002,-1.677254,1.039356,-0.2618181,-0.1844601,-1.406064,0.8944771,-1.0208460000000001,-1.008622
-0.4,-1.418113,0.1435401,-0.3949972,-0.031606760000000005,1.239881,1.175795,-0.6771879,-2.0487349999999998,-1.447916,-0.49598749999999997
-0.6,0.01647277,-1.886568,1.178007,0.41857130000000004,-1.080974,-1.11293,-2.665969,-1.766603,-0.1497101,-1.632841
-0.8,-0.2939487,1.872133,0.4940666,0.5007605,1.9338910000000002,-2.313755,-2.330809,-1.748092,-0.03736932,-1.202337
-1.0,0.6426126,-0.1844601,-0.6610062000000001,-0.2862653,-2.45613,-0.29709189999999996,-2.242799,-2.058398,-1.766603,-2.846587
-1.2,-1.64489,0.8370844,0.07101335,-2.375047,-0.5555920999999999,0.8533243,-4.567381,-1.624925,-2.129877,-3.540772
-1.4,2.039771,-0.7371418,-0.4604226,2.913002,-0.09208452,-1.127715,-1.4679389999999999,-2.648507,-0.9236392,-4.632457
-1.6,-0.49592929999999996,-0.54267,0.9370851,-0.2229935,-0.7518101,-0.5607726000000001,-3.282272,-4.043686,-2.578716,-2.7546779999999997
-1.8,-0.6920309,-0.046449710000000005,-0.7145572,-0.41088790000000003,-1.764507,-0.7875496999999999,-5.397073,-3.716093,-4.133908,-3.4906550000000003
-2.0,0.7291091999999999,1.049484,-0.7573399000000001,-1.16555,-0.6879563,-0.5340552999999999,-3.742345,-4.558824,-4.1562600000000005,-5.364593
-2.2,0.2538436,-1.297798,-0.8339412,1.144712,-0.9576323999999999,-3.032736,-6.827933,-3.244437,-4.704343,-4.575995000000001
-2.4,1.856592,-1.014268,-2.84228,-1.662353,-3.177673,-3.035238,-5.647365,-5.771755,-4.690082,-8.750998
